attributionURL,count,employmentStatus,jobTitle,jobTitleId,max,mean,min,obscureType,payPeriod,perOccEmployerDefaultCountryBasePayCount,perOccUnfilteredThisCountryBasePayCount,id,company_name,company_longName,companyLogo,totalJobTitlesCount,totalSalariesCount
"https://www.glassdoor.com/Salary/Bain-and-Company-Consultant-Salaries-E3752_D_KO17,27.htm",519.0,REGULAR,Consultant,51535.0,182407.39,148218.19,54413.3,FULL_DISPLAY,ANNUAL,521.0,40635.0,3752,Bain & Company,"Bain & Company, Inc.",https://media.glassdoor.com/sqll/3752/bain-and-company-squarelogo-1481126093417.png,216,1836
"https://www.glassdoor.com/Salary/Bain-and-Company-Associate-Consultant-Salaries-E3752_D_KO17,37.htm",489.0,REGULAR,Associate Consultant,2646.0,103037.47,83295.85,64888.38,FULL_DISPLAY,ANNUAL,514.0,6796.0,3752,Bain & Company,"Bain & Company, Inc.",https://media.glassdoor.com/sqll/3752/bain-and-company-squarelogo-1481126093417.png,216,1836
"https://www.glassdoor.com/Salary/Bain-and-Company-Senior-Associate-Consultant-Salaries-E3752_D_KO17,44.htm",145.0,REGULAR,Senior Associate Consultant,45326.0,143506.38,102476.46,82534.0,FULL_DISPLAY,ANNUAL,145.0,633.0,3752,Bain & Company,"Bain & Company, Inc.",https://media.glassdoor.com/sqll/3752/bain-and-company-squarelogo-1481126093417.png,216,1836
"https://www.glassdoor.com/Salary/Bain-Capital-Associate-Salaries-E3930_D_KO13,22.htm",30.0,REGULAR,Associate,2529.0,190368.27,130084.97,99817.76,FULL_DISPLAY,ANNUAL,31.0,38347.0,3930,Bain Capital,"Bain Capital, LLC",https://media.glassdoor.com/sqll/3930/bain-capital-squarelogo-1460036021461.png,53,142
"https://www.glassdoor.com/Salary/Bain-Capital-Senior-Associate-Salaries-E3930_D_KO13,29.htm",12.0,REGULAR,Senior Associate,23389.0,184534.59,166733.3,124579.11,FULL_DISPLAY,ANNUAL,12.0,14583.0,3930,Bain Capital,"Bain Capital, LLC",https://media.glassdoor.com/sqll/3930/bain-capital-squarelogo-1460036021461.png,53,142
"https://www.glassdoor.com/Salary/Bain-Capital-Finance-Associate-Salaries-E3930_D_KO13,30.htm",10.0,REGULAR,Finance Associate,26925.0,89580.8,71774.84,58446.23,FULL_DISPLAY,ANNUAL,10.0,923.0,3930,Bain Capital,"Bain Capital, LLC",https://media.glassdoor.com/sqll/3930/bain-capital-squarelogo-1460036021461.png,53,142
"https://www.glassdoor.com/Salary/Bath-Fitter-Sales-Consultant-Salaries-E147915_D_KO12,28.htm",25.0,REGULAR,Sales Consultant,28203.0,92314.94,54942.27,0.0,FULL_DISPLAY,ANNUAL,25.0,1.0,147915,Bath Fitter,Bath Fitter Franchising Inc.,https://media.glassdoor.com/sqll/147915/bath-fitter-squarelogo-1531768968392.png,86,234
"https://www.glassdoor.com/Salary/Bath-Fitter-Installer-Salaries-E147915_D_KO12,21.htm",22.0,REGULAR,Installer,9716.0,86652.22,70999.87,50276.33,FULL_DISPLAY,ANNUAL,26.0,2539.0,147915,Bath Fitter,Bath Fitter Franchising Inc.,https://media.glassdoor.com/sqll/147915/bath-fitter-squarelogo-1531768968392.png,86,234
"https://www.glassdoor.com/Salary/Bath-Fitter-Sales-Representative-Salaries-E147915_D_KO12,32.htm",16.0,REGULAR,Sales Representative,44836.0,108371.24,49747.24,0.0,FULL_DISPLAY,ANNUAL,24.0,2.0,147915,Bath Fitter,Bath Fitter Franchising Inc.,https://media.glassdoor.com/sqll/147915/bath-fitter-squarelogo-1531768968392.png,86,234
"https://www.glassdoor.com/Salary/Coldwell-Banker-Bain-Office-Manager-Salaries-E832466_D_KO21,35.htm",3.0,REGULAR,Office Manager,46760.0,60707.91,55613.21,52000.0,FULL_DISPLAY,ANNUAL,4.0,10854.0,832466,Coldwell Banker Bain,Coldwell Banker Bain,https://media.glassdoor.com/sqll/832466/coldwell-banker-bain-squarelogo-1561649399375.png,13,16
"https://www.glassdoor.com/Salary/Coldwell-Banker-Bain-Broker-Salaries-E832466_D_KO21,27.htm",2.0,REGULAR,Broker,12081.0,33052.08,31137.6,29223.12,FUZZED,ANNUAL,2.0,598.0,832466,Coldwell Banker Bain,Coldwell Banker Bain,https://media.glassdoor.com/sqll/832466/coldwell-banker-bain-squarelogo-1561649399375.png,13,16
"https://www.glassdoor.com/Hourly-Pay/Coldwell-Banker-Bain-Office-Manager-Hourly-Pay-E832466_D_KO21,35.htm",1.0,REGULAR,Office Manager,46760.0,20.18,19.3,18.41,FUZZED,HOURLY,4.0,10854.0,832466,Coldwell Banker Bain,Coldwell Banker Bain,https://media.glassdoor.com/sqll/832466/coldwell-banker-bain-squarelogo-1561649399375.png,13,16
https://www.glassdoor.com/Salary/Kempinski-Director-of-Global-Corporate-Sales-Us-Salaries-E152773_DAO.htm?filter.jobTitleExact=Director+of+Global+Corporate+Sales+-+Us,2.0,REGULAR,Director of Global Corporate Sales - Us,101497.0,110413.15,99736.32,89059.49,FUZZED,ANNUAL,0.0,2.0,152773,Kempinski,Kempinski AG,https://media.glassdoor.com/sqll/152773/kempinski-hotels-s-a-squarelogo-1398961582069.png,4,5
"https://www.glassdoor.com/Monthly-Pay/Kempinski-Director-of-Global-Sales-Monthly-Pay-E152773_D_KO10,34.htm",1.0,REGULAR,Director of Global Sales,73869.0,12824.33,12264.1,11703.86,FUZZED,MONTHLY,0.0,5.0,152773,Kempinski,Kempinski AG,https://media.glassdoor.com/sqll/152773/kempinski-hotels-s-a-squarelogo-1398961582069.png,4,5
